﻿Group,Component,Description,ARIA APG,Pink Moon house,Material,Apple HIG,Carbon,Polaris,Bootstrap,Atlassian,Ant Design,Divergence,Pink Moon status,Pink Moon name,Note
Actions & Buttons,Button,"Tappable command, label + optional icon",Button,Button,Button,Button,Button,Button,Button,Button,Button,Aligned,In system,Button,Total consensus. The one everyone agrees on.
Actions & Buttons,Icon button,"Icon-only action, no text label",Button,Icon button,Icon button,Button (image),Icon button,Button (icon),Button,IconButton,Button (icon),Synonym,In system,IconButton,story: Components/IconButton. Standalone icon-only button. ThemeToggle is the canonical live instance (Header). Circular variant uses --st-radius-full; square variant uses --st-radius-xs. Token contract shared with SegmentedControl .iconBtn. SUG-151.
Actions & Buttons,FAB,Persistent primary action floating over content,—,—,FAB,—,—,—,—,—,FloatButton,Contested,Not yet,,Material-only coinage. Apple uses a toolbar action instead.
Actions & Buttons,Segmented control,Mutually-exclusive choice rendered as joined buttons,—,Segmented,Segmented button,Segmented control,Content switcher,Button group,Button group,Button group (segmented),Segmented,Synonym,In system,SegmentedControl,"story: Components/SegmentedControl. Two variants: pill (text labels, CWV toggle) and icon (grid/list/graph archive toggle). Was wrongly placed at Patterns/SegmentedControl — moved to Components/. Old Components/IconButton and Components/Pill stories were mislabeled duplicates of this component; deleted and coverage merged. SUG-151."
Actions & Buttons,Menu button,Button that opens a menu of actions,Menu Button,Menu button,Menu,Pull-down button,Menu button,Popover + Action list,Dropdown,Dropdown menu,Dropdown,Synonym,Not yet,,Many words for one control; ARIA's formal 'Menu Button' is the term almost nobody adopts.
Actions & Buttons,Split button,Primary action + attached dropdown of related actions,—,—,—,—,—,—,Split button,—,Dropdown.Button,Contested,Not yet,,Effectively Bootstrap-only as a named component.
Actions & Buttons,Link,Text-only navigational action,Link,Link,—,Link,Link,Link,Link,Link,Typography.Link,Aligned,To codify,Link,"atoms/Link.jsx — internal/external dispatch via linkUtils.isExternalUrl(). Studio: linkItem schema (type radio internal/external, internalRef, externalUrl, label, openInNewTab). Also: LinkAnnotation in portableTextComponents (PT mark renderer). No Storybook story — owed work."
Actions & Buttons,Button group,Group of related buttons sharing one container,Toolbar,ButtonGroup,—,—,Button set,Button group,Button group,Button group,Space.Compact,Synonym,In system,ButtonGroup,Carbon says 'Button set'; ARIA calls the interactive version a Toolbar. Pink Moon ships it one-word as 'ButtonGroup'.
Inputs & Forms,Text field,Single-line free-text entry,—,Input,Text field,Text field,Text input,Text field,Input,Textfield,Input,Synonym,In system,Input — confirm story,Pink Moon name: Input. story: Primitives/Input. Divergence resolved. SUG-148.
Content & Display,Rich text,"Renders structured prose from a portable text / rich text editor: headings, paragraphs, bold, italic, inline code, links, blockquote, lists",—,RichText,—,—,Text editor,Rich text editor,—,Rich text editor,—,Synonym,In system,RichText,"story: Patterns/RichText. Text-only defaults (H2–H4, blockquote, bold, italic, inline code, links, lists). No image/table/citation — those are separate section types. Replaces ContentBlock. SUG-151."
Content & Display,Content block,"Standalone PortableText prose renderer with its own layout CSS (max-width, padding)",—,ContentBlock → deprecated,—,—,—,—,—,—,—,Aligned,Deprecated,ContentBlock,"Deprecated SUG-151. Replace with RichText — same prose rendering, no inline layout. ContentBlock was orphaned (zero production callers), story moved to Legacy/ContentBlock. Will be deleted in a follow-on epic."
Content & Display,Icon,"Scalable vector glyph used for actions, status, navigation, or brand identity",img (or aria-hidden for decorative),Icon,Icon,SF Symbols,Icon,Icon,Icon,Icon,Icon,Aligned,In system,Icon,"story: Foundations/Icons. Two libraries: Lucide React (UI icons, MIT, lucide.dev) + Simple Icons (brand logos, CC0, simpleicons.org). 11 Lucide icons deployed + 9 Simple Icons deployed. Apple uses SF Symbols (platform-native); all other systems agree on 'Icon'."
Inputs & Forms,Textarea,Multi-line free-text entry,—,Textarea,Text field (multiline),Text editor,Text area,Text field (multiline),Textarea,TextArea,Input.TextArea,Synonym,In system,in ContactForm,story: Primitives/Textarea. SUG-148.
Inputs & Forms,Password input,Obscured credential entry,—,Password input,Text field (password),Secure field,Password input,Text field (type=password),Input (password),Textfield (password),Input.Password,Synonym,Not yet,,Apple's 'Secure field' is the lone first-class name.
Inputs & Forms,Search field,Query entry with search affordance,—,Search input,Search,Search field,Search,Search field,—,Search (Textfield),Input.Search,Synonym,Not yet,,Carbon & Material drop 'field'; Bootstrap has no dedicated search component.
Inputs & Forms,Select,Pick one option from a collapsed list,Listbox,Select,Select,Pop-up button,Select,Select,Select,Select,Select,Synonym,Not yet,,"Six of seven agree on 'Select'; only Apple diverges, calling it a 'Pop-up button' / 'Picker' — a synonym, not a conflict."
Inputs & Forms,Combobox,Text entry that filters a list of options,Combobox,Combobox,Autocomplete,—,Combo box,Combobox,Datalist,Select (async),AutoComplete,Synonym,Not yet,,'Autocomplete' (Material) and 'Combobox' (ARIA/Carbon) name the same control.
Inputs & Forms,Autocomplete,Suggests completions as the user types,Combobox,Autocomplete,Autocomplete,—,Combo box,Autocomplete,—,—,AutoComplete,Synonym,Not yet,,Often the same widget as Combobox; the two terms are used interchangeably.
Inputs & Forms,Number input,Increment/decrement a number via steppers,Spinbutton,Number input,—,Stepper,Number input,—,Input (number),—,InputNumber,False friend,Not yet,,Apple's 'Stepper' collides with Material's progress 'Stepper' — true false friend.
Inputs & Forms,File upload,Drag-and-drop or browse to attach a file,—,File upload,—,—,File uploader,Drop zone,Form control (file),—,Upload,Synonym,Not yet,,"One job, different words: Polaris's 'Drop zone' names the interaction, Carbon's 'File uploader' names the task."
Inputs & Forms,Date picker,Pick a calendar date,—,Date picker,Date picker,Date picker,Date picker,Date picker,—,Date picker,DatePicker,Aligned,Not yet,,Rare full alignment. Bootstrap leaves it to native input[type=date].
Inputs & Forms,Time picker,Pick a time of day,—,Time picker,Time picker,Date picker (time),Time picker,—,—,—,TimePicker,Synonym,Not yet,,Apple folds time into its Date picker.
Inputs & Forms,Color picker,Pick a colour value,—,Color picker,—,Color picker,—,Color picker,Form control (color),—,ColorPicker,Aligned,Not yet,,"Named consistently where it exists, but unevenly supported."
Inputs & Forms,Tag input,Enter discrete tokens/keywords inline,—,Tag input,Chip (input),Token field,—,—,—,Tag group (editable),Select (tags),Synonym,Not yet,,"Same widget, no shared name: Apple 'Token field', Material 'Input chip', Ant 'Select (tags)'."
Inputs & Forms,Rating,Star/score rating control,Slider,Rating,—,—,—,—,—,—,Rate,Contested,Not yet,,Common in MUI/Ant but absent from most formal systems here.
Inputs & Forms,Form,Container grouping fields + submit,Form,Form,—,Form,Form,Form,Form,Form,Form,Aligned,In system,ContactForm — rename,story: Patterns/Form. Generic field-schema-driven form. SUG-150.
Inputs & Forms,Form layout,Layout wrapper arranging form fields,—,Form layout,—,—,Form group,Form layout,Row / Col,Form (Field rows),Form (layout),Synonym,Not yet,,'Form group' vs 'Form layout' — and Bootstrap just uses its grid.
Inputs & Forms,Form field,Label + control + validation wrapper,—,Field,Form field,—,Form group,—,Form group,Field,Form.Item,Synonym,In system,in ContactForm,Pink Moon name: Field. story: Primitives/Form/Field. SUG-148.
Inputs & Forms,Helper text,Caption guiding input below a field,—,Helper text,Supporting text,—,Helper text,Help text,Form text,Helper message,Form.Item (extra),Synonym,In system,in ContactForm,story: Primitives/HelperText. SUG-148.
Inputs & Forms,Error message,Inline validation error on a field,—,Error message,Error text,—,Form requirement,Error,Invalid feedback,Error message,Form.Item (help),Synonym,In system,in ContactForm,story: Primitives/ErrorMessage. SUG-148.
Selection Controls,Checkbox,"Binary on/off box, supports indeterminate",Checkbox,Checkbox,Checkbox,Toggle (checkbox),Checkbox,Checkbox,Checkbox,Checkbox,Checkbox,Aligned,Not yet,,Aligned. SwiftUI renders a Toggle as a checkbox on macOS.
Selection Controls,Radio button,Pick one from a set of mutually-exclusive options,Radio Group,Radio,Radio button,Radio button,Radio button,Radio button,Radio,Radio,Radio,Aligned,Not yet,,Aligned on 'Radio'; ARIA names the wrapping 'Radio Group'.
Selection Controls,Switch,"Instant binary state, often a setting",Switch,Switch,Switch,Toggle,Toggle,—,Switch,Toggle,Switch,False friend,Diverges,only as ThemeToggle,"'Toggle' is overloaded: Apple/Carbon/Atlassian use it for this on/off switch, but a 'toggle button' elsewhere is a press-and-stay button — two different controls, one word. ANNOTATION: we have no generic Switch/Toggle primitive — only 'ThemeToggle', a use-case-named instance (same anti-pattern as ContactForm). Factor out a primitive."
Selection Controls,Slider,Pick a value along a continuous track,Slider,Slider,Slider,Slider,Slider,—,Range,Range,Slider,Synonym,Not yet,,"Two words, one control: Bootstrap & Atlassian say 'Range', everyone else 'Slider'. Not in our DS — earlier 'present' was a mis-file (it confused this audit's own Tweaks slider for a Pink Moon component)."
Selection Controls,Range slider,Two-thumb slider selecting a span,Slider (Multi-Thumb),Range slider,Range slider,—,Slider (two-handle),Range slider,—,—,Slider (range),Synonym,Not yet,,Note the reversal: here 'Range' modifies 'Slider' rather than replacing it.
Selection Controls,Chip,Discrete selectable token in a set,—,Chip,Chip,—,Tag,Tag,—,Tag,Tag.CheckableTag,Synonym,In system,Chip,"Two words, one token: 'Chip' (Material) vs 'Tag' (everyone else). The real trap is 'Tag' itself — see the Tag row."
Selection Controls,Tag,Compact removable metadata label,—,Tag,Chip (input),Token,Tag,Tag,—,Tag,Tag,False friend,Diverges,Chip / Tag,"True false friend: 'Tag' is a removable input token in Polaris but a read-only status label in Carbon — two different components, one word."
Navigation,App bar,Top-of-screen bar with title + actions,—,Header,Top app bar,Navigation bar,UI shell header,Top bar,Navbar,Page header,Layout.Header,False friend,In system,Header,"Six different names — and Apple's 'Navigation bar' means something else to Material (see below). ANNOTATION: 'App bar' is a use-case/positional label — the role name is 'Header' (a banner landmark), which we ship. It is NOT a Toolbar: a Header is a layout region that COMPOSES brand + nav + (optionally) a Toolbar of actions."
Navigation,Bottom navigation,Bottom bar of top-level destinations (mobile),—,—,Navigation bar,Tab bar,—,—,—,—,—,False friend,Not yet,,"Material renamed 'Bottom navigation' → 'Navigation bar', directly clashing with Apple's TOP bar."
Navigation,Tabs,Horizontal in-page section switcher,Tabs,Tabs,Tabs,—,Tabs,Tabs,Nav tabs,Tabs,Tabs,Aligned,Not yet,,Aligned; Apple steers you to a Segmented control instead.
Navigation,Navigation drawer,Side panel of primary destinations,—,Sidebar,Navigation drawer,Sidebar,Side nav,Navigation,Offcanvas / Sidebar,Side navigation,Layout.Sider,Synonym,Not yet,,"'Drawer' vs 'Sidebar' vs 'Side nav' — and 'Drawer' is itself overloaded (see Side sheet). We ship 'PageSidebar' (content TOC) and 'MobileNav', but no generic primary-nav drawer primitive — confirm."
Navigation,Navigation rail,Slim vertical strip of icon destinations,—,—,Navigation rail,—,—,—,—,—,—,Contested,Not yet,,A Material-3 coinage; no equivalent named elsewhere.
Navigation,Breadcrumbs,Trail showing location in a hierarchy,Breadcrumb,Breadcrumbs,—,—,Breadcrumb,Breadcrumbs,Breadcrumb,Breadcrumbs,Breadcrumb,Aligned,In system,Breadcrumb,Aligned (singular/plural aside). Now codified — DS primitive 'Breadcrumb' (components/Breadcrumb).
Navigation,Pagination,Controls for moving between pages of results,—,Pagination,—,Page control,Pagination,Pagination,Pagination,Pagination,Pagination,Synonym,In system,Pagination,Apple's dot-style 'Page control' is the visual & naming outlier. Ours: 'Pagination' (Patterns/Pagination).
Navigation,Menu,Floating list of actions/commands,Menu,Menu,Menu,Menu,Menu,Action list,Dropdown,Dropdown menu,Menu,Synonym,Not yet,,Polaris's 'Action list' and Bootstrap's 'Dropdown' describe the same overlay.
Navigation,Stepper,Linear multi-step progress through a flow,—,Stepper,Stepper,—,Progress indicator,—,—,Progress tracker,Steps,False friend,Not yet,,'Stepper' here means progress steps — colliding with Apple's increment Stepper.
