_id,_type,slug,title,excerpt,seo.title,seo.description,categories,tags
wp.article.1788,article,claude-code-joins-the-agentic-caucus,Claude Code Joins the Agentic Caucus,"(And Teaches This Old PM New Tricks) Let’s talk about something embarrassing: I’m a Senior Product Manager in 2026 who hasn’t touched version control since CVS (Concurrent Versions System) was cool. You know, back when we committed to “trunk” and prayed nothing broke.…",Claude Code Joins the Agentic Caucus | Sugartown Digital,(And Teaches This Old PM New Tricks) Let’s talk about something embarrassing: I’m a Senior Product Manager in 2026 who hasn’t touched version,ai-collaboration,"agentic-caucus, version-control, workflow"
wp.article.1437,article,core-web-vitals-dont-belong-to-frontend,Core Web Vitals Don’t Belong to Frontend (and Other Comfortable Lies),"Core Web Vitals1 are not a frontend problem, a CMS problem, or a performance team problem. They’re an ecosystem outcome. If your system is fractured, your CWV will be too. TL;DR: The three-second truth You know that feeling when a page looks loaded, but nothing clicks yet? Or when an image suddenly…",Core Web Vitals Don’t Belong to Frontend (and Other Comforta,"Core Web Vitals1 are not a frontend problem, a CMS problem, or a performance team problem. They’re an ecosystem outcome. If your system is fractured, your CWV w",governance,"core-web-vitals, design-system, governance, headless-cms, performance, seo, structured-content"
wp.article.1025,article,dashboards-arent-dead-neither-are-design-systems,Dashboards Aren’t Dead. Neither Are Design Systems. We Just Stopped Explaining Them Slowly Enough.,"Every so often, a think piece drifts through the timeline announcing the ceremonial funeral of dashboards, design systems, or whatever else we all supposedly “don’t need anymore.” The latest variation claims that AI has eaten interface design whole, and we should all go back to vibes, whimsy, and…",Dashboards Aren’t Dead. Neither Are Design Systems. We Just,"Every so often, a think piece drifts through the timeline announcing the ceremonial funeral of dashboards, design systems, or whatever else we all supposedly “d",design-systems,design-system
wp.article.736,article,lessons-from-replacing-oracle-atg-bcc-with-a-headless-cms,Lessons from Replacing Oracle ATG/BCC with a Headless CMS,"Context: Why Change Was Needed At the premium beauty retailer I was contracted with, the legacy stack relied heavily on Oracle ATG Web Commerce (ATG) and Oracle Endeca/Business Control Center (BCC) to power its e-commerce site. ATG provided a robust (if monolithic) commerce engine, while BCC…",Lessons from Replacing Oracle ATG/BCC with a Headless CMS |,"Context: Why Change Was Needed At the premium beauty retailer I was contracted with, the legacy stack relied heavily on Oracle ATG Web Commerce (ATG) and Oracle","content-architecture, product-platform-strategy","composable, content-architecture, content-modeling, dam, headless-cms, omnichannel, pim-pxm"
drafts.wp.article.410,article,why-cms-and-design-systems-belong-together,"Oh, oh… Atomic: CMS and Design Systems 4evar","Overview There are really two worlds here: one for content strategy and editorial teams, the other for UX and engineering. Content teams talk about the atomic content model — breaking down copy, media, and metadata into reusable fields and blocks. Design teams talk about atomic design systems —…","Oh, oh… Atomic: CMS and Design Systems 4evar | Sugarto","Overview There are really two worlds here: one for content strategy and editorial teams, the other for UX and engineering. Content teams talk about the atomic c","content-architecture, design-systems","content-modeling, atomic-design, composable, content-architecture, headless-cms"
wp.article.410,article,why-cms-and-design-systems-belong-together,"Oh, oh… Atomic: CMS and Design Systems 4evar","Overview There are really two worlds here: one for content strategy and editorial teams, the other for UX and engineering. Content teams talk about the atomic content model — breaking down copy, media, and metadata into reusable fields and blocks. Design teams talk about atomic design systems —…","Oh, oh… Atomic: CMS and Design Systems 4evar | Sugarto","Overview There are really two worlds here: one for content strategy and editorial teams, the other for UX and engineering. Content teams talk about the atomic c","content-architecture, design-systems","content-modeling, atomic-design, composable, content-architecture, design-system, headless-cms"
article-placeholder,article,placeholder,Placeholder,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus pulvinar venenatis sem, sed pulvinar justo hendrerit vitae. Pellentesque porttitor felis est, in tempor nunc vestibulum quis. Nullam venenatis vestibulum ex vel mattis. ",,,agentic-caucus,two
d3272c3a-a52e-4213-8300-07ed5c7f5fb9,article,placeholder2,Placeholder II,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus pulvinar venenatis sem, sed pulvinar justo hendrerit vitae. Pellentesque porttitor felis est, in tempor nunc vestibulum quis. Nullam venenatis vestibulum ex vel mattis. ",,,agentic-caucus,ai-generated
wp.article.1804,article,the-great-icloud-divorce,The Great iCloud Divorce: A Tale of Two AIs and One Very Angry Mac,"Or: How I Learned to Stop Worrying and Love sudo killall fileproviderd TL;DR: Breaking up with iCloud is like trying to leave a cult. Except the cult has kernel-level access to your Mac and really, really doesn’t want you to go. Also, I needed two different AIs to help me escape, and only one…",The Great iCloud Divorce: A Tale of Two AIs and One Very Ang,Or: How I Learned to Stop Worrying and Love sudo killall fileproviderd TL;DR: Breaking up with iCloud is like trying to leave a cult. Except the cult has kernel,ai-collaboration,agentic-caucus
2eca5d8c-f7c2-4bd4-aacc-9c02da078686,article,i-cant-do-that-yes-i-can-epic-v7c-post-mortem,“I Can’t Do That” (Yes I Can): Post-Mortem of Epic v7c,"A design system migration, a missing adapter layer, and the moment your AI insists it can’t help—until you make it prove otherwise.","“I Can’t Do That” (Yes I Can): Design System Drift, Adapters, and AI Limits","A post-mortem of Epic v7c: migrating legacy WordPress components into a design system, discovering a hidden adapter drift gap, and learning why you should always question “I can’t do that” from your AI tools.","design-systems, ai-collaboration, engineering-dx","claude-code, design-system, storybook, react, css, migration"
