"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"SUG-5","Sugartown","DNS cutover to Netlify","Connect GitHub repo for deploy previews, set up Sanity webhook → Netlify build hook, configure `sugartown.io` custom domain, execute DNS cutover.\\n\\nRef: `docs/reports/hosting-evaluation.md`","Done",,"High",,,"bex@sugartown.io","bex@sugartown.io","Infrastructure, CMS",,,,,"2026-03-17T12:32:14.490Z","2026-08-09T10:58:09.899Z","2026-03-20T13:29:10.280Z",,"2026-03-20T17:16:18.760Z",,,,,"",,,,"accb4a99-b114-4c21-9fb1-9db282ce25d2",212761,,,
"SUG-6","Sugartown","Image optimization & responsive breakpoints","Standardize breakpoint tokens (`--st-breakpoint-sm/md/lg`). Add `.auto('format')` to all Sanity images (WebP/AVIF via CDN). Add `width`/`height`/`loading=\""lazy\""`/`decoding=\""async\""` to all `<img>` elements. Preload hero images. Add `srcset` for responsive sizing. Compress static PNGs. Migrate all 14 `@media` queries across 13 CSS files to use shared breakpoints.\\n\\nEpic prompt: `docs/backlog/EPIC-image-responsive-optimization.md`","Done",,"High",,,"bex@sugartown.io","bex@sugartown.io","UX, Performance, Infrastructure, CMS",,,,,"2026-03-17T12:32:16.913Z","2026-08-09T10:58:09.928Z",,,"2026-03-17T15:02:28.231Z",,,,,"",,,,"45891c2f-ca39-4f5f-afd5-7ad6cadb3f94",217215,,,
"SUG-8","Sugartown","Brand color picker for Sanity Studio (BL-01)","Replace raw hex string input for `colorHex` on project documents with `@sanity/color-input` visual picker (already installed). Requires field type migration (`string` → `color`), GROQ projection updates (`colorHex` → `colorHex.hex`), and data migration script.

**Epic doc:** `docs/prompts/SUG-8-brand-color-picker.md`","Done",,"Medium",,,"bex@sugartown.io","bex@sugartown.io","Studio UX, CMS, Sanity",,,,,"2026-03-17T12:32:30.281Z","2026-08-09T11:00:44.057Z",,,"2026-03-21T12:42:12.680Z",,,,,"",,,,"3f3cf6ae-1333-4a22-8fd7-7c8aead5d296",211595,,,
"SUG-9","Sugartown","Dedicated cardImage schema field (BL-02)","Optional thumbnail override for card grids, separate from hero image. Adds `cardImage` field to article, caseStudy, node schemas. GROQ thumbnail resolution: `cardImage → hero.media[0] → null`.\\n\\nEpic prompt: `docs/backlog/EPIC-card-image-field.md`","Done",,"Low",,,"bex@sugartown.io","bex@sugartown.io","Schema, CMS",,,,,"2026-03-17T12:32:33.598Z","2026-08-09T10:58:10.763Z",,,"2026-03-17T14:16:01.468Z",,,,,"",,,,"fef8e36d-64e4-4fdc-92e3-3bc72add7389",217261,,,
"SUG-10","Sugartown","Contact form (Netlify Forms)","Working web form on `/contact`: name, email, message → sends to `bex@sugartown.io` via Netlify Forms. Inline success/error feedback, honeypot spam protection, dark/light theme aware.\\n\\n**Blocked by:** DNS cutover (Netlify hosting must be active).\\n\\nEpic prompt: `docs/backlog/EPIC-contact-form.md`","Done",,"Medium",,,"bex@sugartown.io","bex@sugartown.io","UX, Infrastructure, CMS",,,,,"2026-03-17T12:32:36.931Z","2026-08-09T10:58:10.604Z","2026-03-17T13:47:16.432Z",,"2026-03-21T12:11:37.372Z",,,,,"",,,,"82112b66-ad70-46ee-8732-c42048e72095",211626,,"SUG-5",
"SUG-11","Sugartown","Studio UX polish — section type labels + archive rich text","Two editor QoL fixes: (1) section previews in page builder show type labels (Text, Hero, CTA, etc.); (2) archive `description` field upgraded from plain text to `summaryPortableText`.

**Epic doc:** `docs/prompts/SUG-11-studio-ux-polish.md`","Done",,"Medium",,,"bex@sugartown.io","bex@sugartown.io","Studio UX, Schema, CMS",,,,,"2026-03-17T12:32:40.639Z","2026-08-09T10:58:10.577Z",,,"2026-03-21T13:35:03.881Z",,,,,"",,,,"904f0f06-ffc0-47db-93c5-400e9a25c488",211542,,,
"SUG-12","Sugartown","Content metadata audit & taxonomy backfill","Audit all published articles, case studies, and nodes for missing taxonomy assignments. Backfill to minimums: ≥1 category, ≥3 tags, ≥1 tool (articles/nodes), ≥1 author. Extend `validate:content` with checks H–J. Gatekeeping protocol prevents new one-off tags.\\n\\nEpic prompt: `docs/backlog/EPIC-content-metadata-audit.md`","Done",,"Medium",,,"bex@sugartown.io","bex@sugartown.io","Quality, Content, Schema, CMS",,,,,"2026-03-17T12:32:45.465Z","2026-08-09T10:58:10.549Z","2026-03-19T13:55:12.227Z",,"2026-03-19T14:35:38.121Z",,,,,"",,,,"2e559db3-8a16-4933-a277-c76db8186ece",214362,,,
"SUG-13","Sugartown","Mermaid diagram section type","New `mermaidSection` for the section builder. Editor enters Mermaid markup in a code textarea; frontend renders themed SVG via dynamic-imported `mermaid` library. Auto-themes dark/light with brand colours. Code-split (\~2MB only on pages with diagrams).

**Epic doc:** `docs/backlog/SUG-13-mermaid-diagrams.md`","Done",,"Low",,,"bex@sugartown.io","bex@sugartown.io","Component, Schema, UX",,,,,"2026-03-17T12:32:48.060Z","2026-08-08T15:54:37.932Z","2026-03-23T16:23:27.194Z",,"2026-03-23T16:23:59.479Z",,,,,"",,,,"c4cc90a5-55ac-4f7a-a2ca-8ef77963e695",208493,,,
"SUG-14","Sugartown","Card adapter migration v2 — passthrough convergence","Web adapter remains standalone JSX with its own rendering logic, not a true passthrough to the DS Card. CSS drift, SPA navigation pattern, and TaxonomyChips boundary need resolution.\\n\\nEpic prompt: `docs/backlog/EPIC-card-adapter-v2.md`","Done",,"Low",,,"bex@sugartown.io","bex@sugartown.io","Component, Design System",,,,,"2026-03-17T12:33:00.936Z","2026-08-09T10:56:21.410Z",,,"2026-03-17T14:10:52.211Z",,,,,"",,,,"c81f7e9b-276b-4631-9e4b-985304ea3ad0",217266,,,
"SUG-15","Sugartown","XML Sitemap + Visual HTML Sitemap","Two sitemap surfaces for SEO and governance visibility:

**Phase A — XML Sitemap (build-time)**
Build-time script queries all published Sanity documents, constructs URLs via `getCanonicalPath()`, and writes `sitemap.xml` + `robots.txt` to the build output. Respects `seo.noIndex` exclusions and `seo.canonicalUrl` overrides.

**Phase B — Visual HTML Sitemap (**`/sitemap`)
Human-readable sitemap page showing the full site IA structure. Grouped by content type with live counts, last-updated dates, and direct SPA links to every published page. `noIndex` documents visually flagged for governance transparency. Summary stats bar at top. Accessible, semantic HTML. Footer link.

**Epic doc:** `docs/backlog/SUG-15-xml-sitemap.md`

**Doc types indexed:** page, article, caseStudy, node, archivePage, category, tag, project, person, tool

**Not in scope:** dynamic/SSR XML sitemap, image sitemap extensions, sitemap index, hreflang, visual tree/graph rendering, GSC auto-submission","Done",,"Low",,,"bex@sugartown.io","bex@sugartown.io","Epic, SEO, CMS",,,,,"2026-03-17T12:33:02.669Z","2026-08-09T10:58:10.728Z",,,"2026-03-26T10:21:02.818Z",,,,,"",,,,"9b768d01-a6e4-48dc-a6ae-94229d19032e",204536,,,
"SUG-18","Sugartown","Archive page deferred fields — wire Display + Advanced tab configs","8 `archivePage` fields in ""Advanced (coming soon)"" tab: hero section, custom description, featured items, display density, card variant, sort options, pagination, empty state. None wired in web app yet.

**Epic doc:** `docs/backlog/SUG-18-archive-page-deferred-fields.md`","Backlog",,"No priority",,,"bex@sugartown.io","bex@sugartown.io","Studio UX, Schema, Metadata, CMS",,,,,"2026-03-17T12:33:13.088Z","2026-08-09T10:58:08.763Z",,,,,,,,"",,,,"424f11d5-59d9-45e3-9049-fca2a431f63a",217364,,,
"SUG-19","Sugartown","KPI dashboard card family: stat-card, bar-card, insight-card (BL-03)","New card use cases for a KPI dashboard surface. High design ambition, lower immediate priority. Scope as a standalone epic when the dashboard page is prioritised.","Backlog",,"Low",,,"bex@sugartown.io","bex@sugartown.io","Design System",,,,,"2026-03-17T12:33:15.930Z","2026-08-09T10:56:16.520Z",,,,,,,,"",,,,"d5c19ce7-e285-47f9-b1ee-2d317c873fca",217364,"SUG-154, SUG-248",,
