_id,_type,slug,title,seo.title,seo.description
wp.article.1788,article,claude-code-joins-the-agentic-caucus,Claude Code Joins the Agentic Caucus,Claude Code Joins the Agentic Caucus | Sugartown Digital,(And Teaches This Old PM New Tricks) Let’s talk about something embarrassing: I’m a Senior Product Manager in 2026 who hasn’t touched version
wp.article.1437,article,core-web-vitals-dont-belong-to-frontend,Core Web Vitals Don’t Belong to Frontend (and Other Comfortable Lies),Core Web Vitals Don’t Belong to Frontend (and Other Comforta,"Core Web Vitals1 are not a frontend problem, a CMS problem, or a performance team problem. They’re an ecosystem outcome. If your system is fractured, your CWV w"
wp.article.1025,article,dashboards-arent-dead-neither-are-design-systems,Dashboards Aren’t Dead. Neither Are Design Systems. We Just Stopped Explaining Them Slowly Enough.,Dashboards Aren’t Dead. Neither Are Design Systems. We Just,"Every so often, a think piece drifts through the timeline announcing the ceremonial funeral of dashboards, design systems, or whatever else we all supposedly “d"
wp.article.736,article,lessons-from-replacing-oracle-atg-bcc-with-a-headless-cms,Lessons from Replacing Oracle ATG/BCC with a Headless CMS,Lessons from Replacing Oracle ATG/BCC with a Headless CMS |,"Context: Why Change Was Needed At the premium beauty retailer I was contracted with, the legacy stack relied heavily on Oracle ATG Web Commerce (ATG) and Oracle"
drafts.wp.article.410,article,why-cms-and-design-systems-belong-together,"Oh, oh… Atomic: CMS and Design Systems 4evar","Oh, oh… Atomic: CMS and Design Systems 4evar | Sugarto","Overview There are really two worlds here: one for content strategy and editorial teams, the other for UX and engineering. Content teams talk about the atomic c"
wp.article.410,article,why-cms-and-design-systems-belong-together,"Oh, oh… Atomic: CMS and Design Systems 4evar","Oh, oh… Atomic: CMS and Design Systems 4evar | Sugarto","Overview There are really two worlds here: one for content strategy and editorial teams, the other for UX and engineering. Content teams talk about the atomic c"
article-placeholder,article,placeholder,Placeholder,,
d3272c3a-a52e-4213-8300-07ed5c7f5fb9,article,placeholder2,Placeholder II,,
wp.article.1804,article,the-great-icloud-divorce,The Great iCloud Divorce: A Tale of Two AIs and One Very Angry Mac,The Great iCloud Divorce: A Tale of Two AIs and One Very Ang,Or: How I Learned to Stop Worrying and Love sudo killall fileproviderd TL;DR: Breaking up with iCloud is like trying to leave a cult. Except the cult has kernel
2eca5d8c-f7c2-4bd4-aacc-9c02da078686,article,i-cant-do-that-yes-i-can-epic-v7c-post-mortem,“I Can’t Do That” (Yes I Can): Post-Mortem of Epic v7c,"“I Can’t Do That” (Yes I Can): Design System Drift, Adapters, and AI Limits","A post-mortem of Epic v7c: migrating legacy WordPress components into a design system, discovering a hidden adapter drift gap, and learning why you should always question “I can’t do that” from your AI tools."
