_id,_type,slug,title,excerpt,publishedAt,updatedAt,seo.title,seo.description,seo.canonicalUrl,seo.noIndex,seo.noFollow,seo.og.title,seo.og.description,categories,tags,projects,authors,tools,status,aiTool,conversationType,challenge,insight,actionItem
wp.node.1654,node,ai-illustration-review-ethics-accessibility-ip-guardrails,"AI Illustration Review: Ethics, Accessibility & IP Guardrails","This documents a formal, multi-dimensional review of AI-generated illustrative thumbnails used on Sugartown.io. The objective is operational clarity — not aesthetic judgment — across three governance dimensions: AI ethics, accessibility, and intellectual property (IP) risk. Note: This node is not a…",2026-01-01T11:24:06Z,2026-01-04T15:25:11Z,"AI Illustration Review: Ethics, Accessibility & IP Guar","This documents a formal, multi-dimensional review of AI-generated illustrative thumbnails used on Sugartown.io. The objective is operational clarity — not aesth",,,,,,governance,"accessibility, ai-collaboration, ai-ethics, alt-text, governance, ways-of-working",,,chatgpt,explored,mixed,learning,,,
wp.node.1028,node,architecture-decision-the-two-repo-solution-theme-vs-content,Architecture Decision: The Two-Repo Solution (Theme vs. Content),I hit a wall today where my local Git commits weren’t showing up in my repository. The root cause? I was trying to treat my Theme (Visuals) and my Content (Data) as the same entity. They are not. The Separation of Concerns We have officially split the Sugartown codebase into two distinct…,2025-12-04T15:37:29Z,2026-01-04T17:02:54Z,Architecture Decision: The Two-Repo Solution (Theme vs. Cont,I hit a wall today where my local Git commits weren’t showing up in my repository. The root cause? I was trying to treat my Theme (Visuals) and my Content,,,,,,engineering-dx,"governance, headless-cms, separation-of-concerns, source-control",,,"chatgpt, git",explored,mixed,learning,,,
wp.node.949,node,architecture-decision-the-overwrite-risk-in-sugartown-cms,Architecture Decision: The “Overwrite” Risk in Sugartown CMS,"I had a realization today while trying to manually edit a post in WordPress: The Pipeline is a Bully. In a typical “Push” architecture (Python -> WordPress), the script is the Source of Truth. If I manually add a witty joke or a custom image inside the WordPress Editor, the next time I…",2025-11-28T14:39:37Z,2026-01-04T16:47:15Z,Architecture Decision: The “Overwrite” Risk in S,I had a realization today while trying to manually edit a post in WordPress: The Pipeline is a Bully. In a typical “Push” architecture (Python -> Wo,,,,,,career-engineering,"content-architecture, content-ops, governance, headless-cms, system-thinking",,,"gemini, python",explored,mixed,learning,,,
wp.node.1395,node,architecture-deep-dive-resume-factory-v3-0,Architecture Deep Dive: Resume Factory v3.0,"Or, The Great Sanity Migration tl;dr: We spent two weeks building a Python resume pipeline. It worked. Then we immediately decided to throw it away and rebuild it in Sanity + React. This is that story. The Uncomfortable Truth About v2.0 Let’s be honest: Resume Factory v2.0 is fantastic……",2025-12-11T15:38:23Z,2026-01-04T15:25:06Z,Architecture Deep Dive: Resume Factory v3.0 | Sugartown Digi,"Or, The Great Sanity Migration tl;dr: We spent two weeks building a Python resume pipeline. It worked. Then we immediately decided to throw it away and rebuild",,,,,,career-engineering,"architecture, headless-cms, migration, monorepo, prd, resume-as-code",,,"claude, react, sanity",explored,mixed,learning,,,
wp.node.1094,node,architecture-insight-the-sugartown-2-0-system-contract,Architecture Insight: The Sugartown 2.0 System Contract,"Sugartown 2.0 establishes a non-negotiable architecture: Python is the single source of truth; WordPress is a stateless rendering layer. This eliminates CMS drift, enables reproducibility, and prepares the platform for a headless future. Core Principles Python as Canonical: All content, metadata,…",2025-12-06T14:48:28Z,2026-01-04T17:16:36Z,Architecture Insight: The Sugartown 2.0 System Contract,Sugartown 2.0 establishes a non-negotiable architecture: Python is the single source of truth; WordPress is a stateless rendering layer. This eliminates CMS dri,,,,,,content-architecture,"content-ops, design-system, governance, headless-cms",,,"gemini, python",explored,mixed,learning,,,
wp.node.1121,node,architecture-update-the-resume-factory-v2-0,Architecture Update: The Resume Factory v2.0,"Update: The pipeline described below is live. View the generated Resume here. In the last 48 hours, we fundamentally replatformed the “Resume Engine.” We moved away from a static Markdown file to a Slot & Variant Architecture driven by a master CSV. The Strategy: Precision over…",2025-12-07T14:56:39Z,2026-01-04T15:25:04Z,Architecture Update: The Resume Factory v2.0 | Sugartown Dig,"Update: The pipeline described below is live. View the generated Resume here. In the last 48 hours, we fundamentally replatformed the “Resume Engine.&#822",,,,,,career-engineering,"ai-safety, automation, governance, pim-pxm, resume-as-code",,,"claude, python",explored,mixed,learning,,,
wp.node.1023,node,architecture-the-sugartown-digital-ecosystem-v1-0,Architecture: The Sugartown Digital Ecosystem (v1.0),"Executive Summary This ecosystem represents the “Digital Factory” for Sugartown.io. It creates a strict separation of concerns between Content (The “Brain”), Code (The Theme/Repo), and Assets (The Storage). The goal is a resilient, portable, and headless-ready architecture…",2025-12-03T17:30:40Z,2026-01-04T16:59:22Z,Architecture: The Sugartown Digital Ecosystem (v1.0),Executive Summary This ecosystem represents the “Digital Factory” for Sugartown.io. It creates a strict separation of concerns between Content (The,,,,,,engineering-dx,"documentation, governance, headless-cms",,,gemini,explored,mixed,learning,,,
wp.node.1029,node,architecture-the-unified-taxonomy-strategy,Architecture: The Unified Taxonomy Strategy,"A headless CMS is useless if you can’t find anything inside it. Today, we implemented the Unified Taxonomy Strategy for Sugartown.io, ensuring that our content is connected by meaning, not just date. The Architecture We rejected the standard “Free Tagging” chaos in favor of a…",2025-12-04T15:37:31Z,2026-01-04T15:24:58Z,Architecture: The Unified Taxonomy Strategy | Sugartown Digi,"A headless CMS is useless if you can’t find anything inside it. Today, we implemented the Unified Taxonomy Strategy for Sugartown.io, ensuring that our co",,,,,,content-architecture,"metadata-strategy, ontology, structured-content, taxonomy",,,gemini,explored,mixed,learning,,,
wp.node.1702,node,claude-vs-devtools-a-cautionary-tale-of-assumed-striping,Claude vs. DevTools: A Cautionary Tale of Assumed Striping,"Or, How I Confidently Recommended a Class That Didn’t Exist tl;dr: Claude had full access to style.css. Claude saw alternating colored rows in a screenshot. Claude immediately recommended using st-table–striped. Claude was wrong on two counts. This is that post-mortem. The Setup: A…",2026-01-04T15:25:16Z,2026-01-17T12:28:19Z,Claude vs. DevTools: A Cautionary Tale of Assumed Striping |,"Or, How I Confidently Recommended a Class That Didn’t Exist tl;dr: Claude had full access to style.css. Claude saw alternating colored rows in a screensho",,,,,,ai-collaboration,"debugging, devtools",,,"claude, css",explored,mixed,learning,,,
wp.node.952,node,confession-i-dont-hate-blogs-i-just-hate-unstructured-data,"Confession: I Don’t Hate Blogs, I Just Hate Unstructured Data","My AI architect recently pointed out a flaw in my new site strategy: “Why are you so down on blogs?” It’s a fair question. I’ve spent the last week rigorously separating my “Field Notes” from my “Blog,” treating the latter like a second-class citizen. But I want…",2025-11-28T18:03:18Z,2026-01-17T13:40:58Z,"Confession: I Don’t Hate Blogs, I Just Hate Unstructur",My AI architect recently pointed out a flaw in my new site strategy: “Why are you so down on blogs?” It’s a fair question. I’ve spent the last week,,,,,,sugartown-notes,"metadata-strategy, structured-content, system-thinking, taxonomy",,,gemini,explored,mixed,learning,,,
